Gender;År;Månad;Månad_Nummer;Säsong;Antal_Döda
Båda könen;2012;September;9;Höst;84.0
Båda könen;2012;Oktober;10;Höst;112.0
Båda könen;2012;November;11;Höst;107.0
Båda könen;2012;December;12;Vinter;77.0
Båda könen;2013;Januari;1;Vinter;114.0
Båda könen;2013;Februari;2;Vinter;83.0
Båda könen;2013;Mars;3;Vår;98.0
Båda könen;2013;April;4;Vår;133.0
Båda könen;2013;Maj;5;Vår;100.0
Båda könen;2013;Juni;6;Sommar;108.0
Båda könen;2013;Juli;7;Sommar;105.0
Båda könen;2013;Augusti;8;Sommar;101.0
Båda könen;2013;September;9;Höst;101.0
Båda könen;2013;Oktober;10;Höst;102.0
Båda könen;2013;November;11;Höst;85.0
Båda könen;2013;December;12;Vinter;101.0
Båda könen;2014;Januari;1;Vinter;96.0
Båda könen;2014;Februari;2;Vinter;85.0
Båda könen;2014;Mars;3;Vår;125.0
Båda könen;2014;April;4;Vår;92.0
Båda könen;2014;Maj;5;Vår;85.0
Båda könen;2014;Juni;6;Sommar;86.0
Båda könen;2014;Juli;7;Sommar;101.0
Båda könen;2014;Augusti;8;Sommar;106.0
Båda könen;2014;September;9;Höst;105.0
Båda könen;2014;Oktober;10;Höst;88.0
Båda könen;2014;November;11;Höst;100.0
Båda könen;2014;December;12;Vinter;82.0
Båda könen;2015;Januari;1;Vinter;95.0
Båda könen;2015;Februari;2;Vinter;87.0
Båda könen;2015;Mars;3;Vår;98.0
Båda könen;2015;April;4;Vår;107.0
Båda könen;2015;Maj;5;Vår;108.0
Båda könen;2015;Juni;6;Sommar;103.0
Båda könen;2015;Juli;7;Sommar;97.0
Båda könen;2015;Augusti;8;Sommar;124.0
Båda könen;2015;September;9;Höst;95.0
Båda könen;2015;Oktober;10;Höst;78.0
Båda könen;2015;November;11;Höst;103.0
Båda könen;2015;December;12;Vinter;82.0
Båda könen;2016;Januari;1;Vinter;79.0
Båda könen;2016;Februari;2;Vinter;84.0
Båda könen;2016;Mars;3;Vår;99.0
Båda könen;2016;April;4;Vår;101.0
Båda könen;2016;Maj;5;Vår;107.0
Båda könen;2016;Juni;6;Sommar;93.0
Båda könen;2016;Juli;7;Sommar;95.0
Båda könen;2016;Augusti;8;Sommar;95.0
Båda könen;2016;September;9;Höst;100.0
Båda könen;2016;Oktober;10;Höst;83.0
Båda könen;2016;November;11;Höst;111.0
Båda könen;2016;December;12;Vinter;77.0
Båda könen;2017;Januari;1;Vinter;78.0
Båda könen;2017;Februari;2;Vinter;89.0
Båda könen;2017;Mars;3;Vår;93.0
Båda könen;2017;April;4;Vår;99.0
Båda könen;2017;Maj;5;Vår;102.0
Båda könen;2017;Juni;6;Sommar;101.0
Båda könen;2017;Juli;7;Sommar;101.0
Båda könen;2017;Augusti;8;Sommar;108.0
Båda könen;2017;September;9;Höst;93.0
Båda könen;2017;Oktober;10;Höst;109.0
Båda könen;2017;November;11;Höst;103.0
Båda könen;2017;December;12;Vinter;98.0
Båda könen;2018;Januari;1;Vinter;117.0
Båda könen;2018;Februari;2;Vinter;82.0
Båda könen;2018;Mars;3;Vår;123.0
Båda könen;2018;April;4;Vår;107.0
Båda könen;2018;Maj;5;Vår;123.0
Båda könen;2018;Juni;6;Sommar;89.0
Båda könen;2018;Juli;7;Sommar;97.0
Båda könen;2018;Augusti;8;Sommar;114.0
Båda könen;2018;September;9;Höst;87.0
Båda könen;2018;Oktober;10;Höst;105.0
Båda könen;2018;November;11;Höst;105.0
Båda könen;2018;December;12;Vinter;102.0
Båda könen;2019;Januari;1;Vinter;85.0
Båda könen;2019;Februari;2;Vinter;104.0
Båda könen;2019;Mars;3;Vår;109.0
Båda könen;2019;April;4;Vår;111.0
Båda könen;2019;Maj;5;Vår;104.0
Båda könen;2019;Juni;6;Sommar;106.0
Båda könen;2019;Juli;7;Sommar;108.0
Båda könen;2019;Augusti;8;Sommar;114.0
Båda könen;2019;September;9;Höst;108.0
Båda könen;2019;Oktober;10;Höst;108.0
Båda könen;2019;November;11;Höst;108.0
Båda könen;2019;December;12;Vinter;94.0
Båda könen;2020;Januari;1;Vinter;83.0
Båda könen;2020;Februari;2;Vinter;101.0
Båda könen;2020;Mars;3;Vår;117.0
Båda könen;2020;April;4;Vår;96.0
Båda könen;2020;Maj;5;Vår;113.0
Båda könen;2020;Juni;6;Sommar;104.0
Båda könen;2020;Juli;7;Sommar;92.0
Båda könen;2020;Augusti;8;Sommar;104.0
Båda könen;2020;September;9;Höst;79.0
Båda könen;2020;Oktober;10;Höst;97.0
Båda könen;2020;November;11;Höst;89.0
Båda könen;2020;December;12;Vinter;78.0
Båda könen;2021;Januari;1;Vinter;87.0
Båda könen;2021;Februari;2;Vinter;86.0
Båda könen;2021;Mars;3;Vår;99.0
Båda könen;2021;April;4;Vår;96.0
Båda könen;2021;Maj;5;Vår;105.0
Båda könen;2021;Juni;6;Sommar;122.0
Båda könen;2021;Juli;7;Sommar;100.0
Båda könen;2021;Augusti;8;Sommar;97.0
Båda könen;2021;September;9;Höst;104.0
Båda könen;2021;Oktober;10;Höst;100.0
Båda könen;2021;November;11;Höst;112.0
Båda könen;2021;December;12;Vinter;99.0
Båda könen;2022;Januari;1;Vinter;120.0
Båda könen;2022;Februari;2;Vinter;99.0
Båda könen;2022;Mars;3;Vår;118.0
Båda könen;2022;April;4;Vår;112.0
Båda könen;2022;Maj;5;Vår;98.0
Båda könen;2022;Juni;6;Sommar;96.0
Båda könen;2022;Juli;7;Sommar;104.0
Båda könen;2022;Augusti;8;Sommar;95.0
Båda könen;2022;September;9;Höst;104.0
Båda könen;2022;Oktober;10;Höst;91.0
Båda könen;2022;November;11;Höst;116.0
Båda könen;2022;December;12;Vinter;105.0
Båda könen;2023;Januari;1;Vinter;109.0
Båda könen;2023;Februari;2;Vinter;102.0
Båda könen;2023;Mars;3;Vår;95.0
Båda könen;2023;April;4;Vår;111.0
Båda könen;2023;Maj;5;Vår;130.0
Båda könen;2023;Juni;6;Sommar;127.0
Båda könen;2023;Juli;7;Sommar;104.0
Båda könen;2023;Augusti;8;Sommar;126.0
Båda könen;2023;September;9;Höst;85.0
Båda könen;2023;Oktober;10;Höst;111.0
Båda könen;2023;November;11;Höst;110.0
Båda könen;2023;December;12;Vinter;104.0
Båda könen;2024;Januari;1;Vinter;109.0
Båda könen;2024;Februari;2;Vinter;94.0
Båda könen;2024;Mars;3;Vår;107.0
Båda könen;2024;April;4;Vår;114.0
Båda könen;2024;Maj;5;Vår;119.0
Båda könen;2024;Juni;6;Sommar;85.0
Båda könen;2024;Juli;7;Sommar;102.0
Båda könen;2024;Augusti;8;Sommar;95.0
Båda könen;2024;September;9;Höst;106.0
Båda könen;2024;Oktober;10;Höst;91.0
Båda könen;2024;November;11;Höst;95.0
Båda könen;2024;December;12;Vinter;99.0
Båda könen;2025;Januari;1;Vinter;94.0
Båda könen;2025;Februari;2;Vinter;94.0
Båda könen;2025;Mars;3;Vår;106.0
Båda könen;2025;April;4;Vår;96.0
Båda könen;2025;Maj;5;Vår;90.0
Båda könen;2025;Juni;6;Sommar;77.0
Båda könen;2025;Juli;7;Sommar;117.0
Båda könen;2025;Augusti;8;Sommar;123.0
Båda könen;2025;September;9;Höst;104.0
Båda könen;2025;Oktober;10;Höst;93.0
Båda könen;2025;November;11;Höst;
Båda könen;2025;December;12;Vinter;
Båda könen;2026;Januari;1;Vinter;
Båda könen;2026;Februari;2;Vinter;
Kvinnor;1997;Januari;1;Vinter;22.0
Kvinnor;1997;Februari;2;Vinter;29.0
Kvinnor;1997;Mars;3;Vår;40.0
Kvinnor;1997;April;4;Vår;26.0
Kvinnor;1997;Maj;5;Vår;27.0
Kvinnor;1997;Juni;6;Sommar;32.0
Kvinnor;1997;Juli;7;Sommar;24.0
Kvinnor;1997;Augusti;8;Sommar;32.0
Kvinnor;1997;September;9;Höst;24.0
Kvinnor;1997;Oktober;10;Höst;32.0
Kvinnor;1997;November;11;Höst;22.0
Kvinnor;1997;December;12;Vinter;22.0
Kvinnor;1998;Januari;1;Vinter;29.0
Kvinnor;1998;Februari;2;Vinter;19.0
Kvinnor;1998;Mars;3;Vår;30.0
Kvinnor;1998;April;4;Vår;26.0
Kvinnor;1998;Maj;5;Vår;36.0
Kvinnor;1998;Juni;6;Sommar;26.0
Kvinnor;1998;Juli;7;Sommar;33.0
Kvinnor;1998;Augusti;8;Sommar;35.0
Kvinnor;1998;September;9;Höst;30.0
Kvinnor;1998;Oktober;10;Höst;36.0
Kvinnor;1998;November;11;Höst;23.0
Kvinnor;1998;December;12;Vinter;21.0
Kvinnor;1999;Januari;1;Vinter;32.0
Kvinnor;1999;Februari;2;Vinter;16.0
Kvinnor;1999;Mars;3;Vår;24.0
Kvinnor;1999;April;4;Vår;23.0
Kvinnor;1999;Maj;5;Vår;32.0
Kvinnor;1999;Juni;6;Sommar;31.0
Kvinnor;1999;Juli;7;Sommar;28.0
Kvinnor;1999;Augusti;8;Sommar;37.0
Kvinnor;1999;September;9;Höst;25.0
Kvinnor;1999;Oktober;10;Höst;38.0
Kvinnor;1999;November;11;Höst;29.0
Kvinnor;1999;December;12;Vinter;29.0
